Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,59.520000,59.869999,57.880001,57.889999,55.450226,1073800
2021-08-03,58.430000,59.320000,57.529999,59.150002,56.657124,1597100
2021-08-04,58.869999,59.139999,57.750000,57.770000,55.335281,1689800
2021-08-05,57.849998,58.630001,57.700001,58.020000,55.574749,1324800
2021-08-06,58.480000,59.529999,58.290001,59.500000,56.992374,1452000
2021-08-09,59.349998,60.529999,59.290001,60.320000,57.777817,1862000
2021-08-10,61.169998,64.529999,60.790001,64.029999,61.331455,4546800
2021-08-11,64.199997,64.300003,63.014999,63.630001,60.948315,1554900
2021-08-12,63.500000,63.889999,62.470001,63.630001,60.948315,1244300
2021-08-13,63.480000,63.930000,63.110001,63.610001,60.929157,1134600
2021-08-16,62.959999,63.020000,61.849998,62.230000,59.607319,1376400
2021-08-17,61.849998,61.939999,59.889999,60.689999,58.132217,2747300
2021-08-18,60.689999,61.250000,60.250000,60.299999,57.758656,2624900
2021-08-19,59.520000,59.750000,57.450001,58.060001,55.613068,2183300
2021-08-20,57.869999,59.939999,57.660000,59.330002,56.829540,1935400
2021-08-23,60.380001,60.770000,59.990002,60.279999,57.739502,917800
2021-08-24,60.590000,61.259998,60.459999,60.790001,58.228004,851300
2021-08-25,60.720001,61.189999,60.250000,60.740002,58.180115,706700
2021-08-26,60.680000,60.730000,59.930000,60.049999,57.519192,857600
2021-08-27,60.000000,61.560001,59.990002,61.279999,58.697357,1110500
2021-08-30,61.419998,61.590000,60.750000,60.900002,58.333370,867300
2021-08-31,60.880001,61.360001,60.490002,60.689999,58.132217,1535200
2021-09-01,61.009998,61.189999,59.820000,60.259998,57.720337,1172500
2021-09-02,60.400002,61.700001,60.279999,61.660000,59.061344,1190500
2021-09-03,61.790001,61.889999,60.880001,61.160000,58.582413,683000
2021-09-07,61.000000,62.259998,60.952000,62.150002,59.530689,1527200
2021-09-08,62.070000,62.369999,60.139999,60.599998,58.046013,1635000
2021-09-09,60.330002,63.180000,60.180000,62.630001,59.990459,2406500
2021-09-10,63.139999,63.139999,61.959999,62.009998,59.396587,1105800
2021-09-13,62.590000,62.779999,61.810001,62.259998,59.636047,1074500
2021-09-14,62.700001,62.759998,60.830002,61.040001,58.467468,1351700
2021-09-15,61.259998,63.509998,61.250000,63.430000,60.756744,1695200
2021-09-16,63.310001,64.355003,62.669998,63.160000,60.498123,1626500
2021-09-17,62.680000,63.380001,61.980000,63.049999,60.392757,1635500
2021-09-20,61.180000,62.220001,60.599998,61.720001,59.118809,1507400
2021-09-21,62.250000,62.590000,61.430000,62.200001,59.578590,1124600
2021-09-22,63.060001,63.770000,62.759998,63.080002,60.421494,1332900
2021-09-23,63.740002,64.620003,63.639999,64.580002,61.858276,2168800
2021-09-24,64.209999,65.110001,63.860001,64.910004,62.174370,1183000
2021-09-27,65.400002,66.470001,65.110001,66.260002,63.467468,2089800
2021-09-28,66.050003,66.410004,65.339996,65.830002,63.496414,1850600
2021-09-29,65.650002,65.919998,64.889999,64.900002,62.599377,1712700
2021-09-30,65.089996,65.550003,64.339996,64.830002,62.531857,1612300
2021-10-01,65.250000,67.519997,65.180000,67.199997,64.817833,3686500
2021-10-04,67.910004,68.190002,67.160004,67.760002,65.357994,3118300
2021-10-05,68.000000,68.589996,67.320000,68.320000,65.898140,2382800
2021-10-06,67.940002,68.279999,66.580002,68.000000,65.589493,2300800
2021-10-07,68.550003,69.910004,68.410004,69.500000,67.036308,2355100
2021-10-08,69.870003,70.425003,69.599998,70.190002,67.701859,2134800
2021-10-11,70.980003,72.160004,70.849998,71.360001,68.830383,2277500
2021-10-12,71.050003,71.930000,70.349998,70.620003,68.116623,1595100
2021-10-13,70.620003,70.860001,69.800003,70.480003,67.981590,1187700
2021-10-14,71.419998,72.010002,70.910004,71.739998,69.196907,1245100
2021-10-15,72.000000,72.209999,70.769997,71.239998,68.714638,1431900
2021-10-18,71.000000,71.790001,70.660004,71.419998,68.888252,1193600
2021-10-19,71.849998,72.089996,71.040001,71.820000,69.274071,1394900
2021-10-20,71.660004,72.019997,71.099998,71.800003,69.254784,1384000
2021-10-21,71.519997,71.519997,69.654999,69.910004,67.431786,1324700
2021-10-22,70.059998,70.860001,69.550003,70.080002,67.595749,796700
2021-10-25,70.330002,70.910004,70.160004,70.589996,68.087669,962700
2021-10-26,70.860001,70.860001,70.029999,70.239998,67.750076,722700
2021-10-27,69.940002,70.800003,69.180000,69.820000,67.344963,1220900
2021-10-28,70.000000,70.239998,69.279999,70.150002,67.663277,1663800
2021-10-29,69.660004,70.180000,69.199997,69.910004,67.431786,1508200
2021-11-01,69.639999,71.699997,69.599998,71.550003,69.013641,1811600
2021-11-02,72.425003,73.500000,67.010002,67.739998,65.338699,4887900
2021-11-03,67.989998,69.529999,67.110001,68.220001,65.801689,2190400
2021-11-04,68.209999,68.900002,67.059998,67.150002,64.769615,2064100
2021-11-05,67.250000,67.349998,66.260002,66.959999,64.586349,2348600
2021-11-08,67.339996,69.099998,67.220001,68.970001,66.525093,1847600
2021-11-09,68.970001,69.169998,67.360001,68.510002,66.081398,1351700
2021-11-10,68.519997,68.949997,67.360001,67.680000,65.280823,1588700
2021-11-11,68.120003,68.894997,67.964996,68.300003,65.878853,1274100
2021-11-12,68.110001,68.489998,67.660004,68.309998,65.888496,925200
2021-11-15,69.150002,69.150002,67.464996,68.919998,66.476883,1429500
2021-11-16,68.690002,68.839996,67.654999,67.730003,65.329056,1502000
2021-11-17,67.510002,68.639999,67.510002,67.589996,65.194008,1328600
2021-11-18,67.750000,69.199997,67.089996,69.070000,66.621552,2842100
2021-11-19,68.510002,68.591003,67.510002,67.879997,65.473732,1585000
2021-11-22,68.300003,70.169998,67.860001,69.550003,67.084549,3893100
2021-11-23,69.419998,71.050003,68.519997,69.559998,67.094193,1877900
2021-11-24,69.190002,69.949997,68.949997,69.690002,67.219574,1567800
2021-11-26,67.669998,68.250000,66.639999,67.680000,65.280823,2158200
2021-11-29,68.699997,69.629997,68.080002,68.430000,66.004250,1867100
2021-11-30,67.919998,68.870003,65.839996,66.120003,63.776131,2345500
2021-12-01,67.230003,68.699997,65.900002,65.930000,63.592861,1657700
2021-12-02,66.279999,68.239998,66.120003,67.379997,64.991455,2153500
